sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels,manufacturer
MDPRJHG617388BLA,,Default,virtual,Default Category,base,Cleaning Cart with Zippered Vinyl Bag,,"<ul><li> Handy built-in paper towel holder on middle shelf</li><li> Smooth surface for easy cleaning</li><li> Zippered bag for simple trash removal</li><li> Quite 4"" casters and 8"" ball-bearing wheels</li></ul>",,,Taxable Goods,Not Visible Individually,0,,,,,Tuttnauer USA DS1000 - McKesson Medical-Surgical,,DS1000 Steam Distiller 1 gal. 9-3/4 X 15 X 15-1/4 Inch AC Outlet Tuttnauer USA DS1000,,,,,,,,,2022-05-01 22:53:44.684735,,12/21/23,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,RUBBERMAID
MDPBKCCRMOPCART1,,Default,virtual,Default Category,base,Cleanroom Mop Carts with Buckets,,<ul><li> Made of stainless steel and fully autoclavable</li><li> Locking casters provide stability during use</li><li> Ergonomically designed cart handle serves as a rest for mop and makes the cart easy to maneuver in tight production areas</li><li> Two 20-liter polypropylene buckets are color coded blue and red to differentiate between clean and dirty solutions</li><li> Internal bucket graduations help insure correct mixing of cleaning and disinfecting solutions</li></ul>,,,Taxable Goods,Not Visible Individually,0,,,,,HoMedics USA LLC AP-T20WT - McKesson Medical-Surgical,,HoMedics® TotalClean® 5-in-1 UV Air Purifier Small Rooms HEPA-Type 3 Speed HoMedics USA LLC AP-T20WT,,,,,,,,,2022-05-01 22:47:11.990417,,12/21/23,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,BERKSHIRE CORPORATION
MDPMPHMC1TW,,Default,virtual,Default Category,base,MIYO Housekeeping Carts,,"<ul><li> Professional tools for high-level cleaning</li><li> Convenient EVS mobile workstations designed for healthcare</li><li> Stands up to disinfectants, power washing and even autoclaving</li><li> Quiet and clean, helping to enhance the patient experience</li></ul>",,,Taxable Goods,Not Visible Individually,0,,,,,HoMedics USA LLC AP-PET35-WT - McKesson Medical-Surgical,,HoMedics® TotalClean® PetPlus 5-In-1 Air Purifier Large Rooms HEPA 3 Speed HoMedics USA LLC AP-PET35-WT,,,,,,,,,2022-05-01 22:47:12.801325,,12/21/23,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,Various Manufacturers / Suppliers
MDPCCJ188WY,,Default,virtual,Default Category,base,Janitor Cart,,"<ul><li> Designed to accommodate and organize tools and suppliesrequired for facility cleaning</li><li> Features over-sized 8"" (20 cm) rear wheels and 3"" (7.6 cm)gray non-marking casters</li><li> 25-gallon (94.64 L) vinyl bag with zipper for easy trash removal</li><li> Plastic construction resists corrosion and rust, and is less likely to scratch doors, furniture or walls</li></ul>",,,Taxable Goods,Not Visible Individually,0,,,,,Auxo Medical AM-WC-PCS-20 - McKesson Medical-Surgical,,Boiler Auxo Medical AM-WC-PCS-20,,,,,,,,,2022-05-01 22:43:30.813638,,12/21/23,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,CONTINENTAL COMMERCIAL PRODUCTS LLC
MDPWXS619000BLA,,Default,virtual,Default Category,base,Housekeeping Carts by Rubbermaid,,,,,Taxable Goods,Not Visible Individually,0,,,,,HoMedics USA LLC AP-T30WT - McKesson Medical-Surgical,,HoMedics Air Purifier 195 Sq Foot 9-3/5 X 9-3/5 X 22-1/5 Inch Pre-Filter HoMedics USA LLC AP-T30WT,,,,,,,,,2022-05-01 22:47:13.450823,,12/21/23,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,RUBBERMAID
MDPRJHG617900BLA,,Default,virtual,Default Category,base,High-Capacity Janitorial Cart Executive Waste Covers,,,,,Taxable Goods,Not Visible Individually,0,,,,,Labconco 9075020 - McKesson Medical-Surgical,,WaterPro PS ® Water Purifier Labconco 9075020,,,,,,,,,2022-05-01 22:48:41.069178,,12/21/23,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,RUBBERMAID
MDPMSC326015,,Default,virtual,Default Category,base,FitRight Double Up Thin Incontinence Booster Pads,,<ul><li> Booster pad allows for an instant increase the absorbency of any personal disposable incontinence product</li><li> Use them in disposable briefs and undergarments for extended protection</li><li> Ultra-thin technology with super-absorbent polymer for dryness and odor protection</li><li> Soft material is comfortable and gentle on skin; full-length adhesive strip helps keep pad in place</li><li> Individually wrapped for convenience</li></ul>,,,Taxable Goods,Not Visible Individually,0,,,,,VWR International 100491-368 - McKesson Medical-Surgical,,LAB-AIR Air Purifier 10 lbs. Capacity 5 X 8 X 12 Inch 110 VAC / 60 Hz 560 mg / hr VWR International 100491-368,,,,,,,,,2022-05-01 22:55:04.655350,,12/21/23,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,MEDLINE
MDPALI920349,,Default,virtual,Default Category,base,AliMed MRI Custodial Carts,,"<ul><li> Cart comes complete with a mop bucket, wringer, warning sign, trash bag, and 3 storage shelves</li><li> Smooth, easy-to-clean surfaces</li><li> Constructed of extremely durable, lightweight materials and suited for use within high magnetic field areas</li><li> Wheels and casters are also nonmagnetic</li></ul>",,,Taxable Goods,Not Visible Individually,0,,,,,VWR International 100498-834 - McKesson Medical-Surgical,,LAB-AIR Air Purifier 10 lbs Capacity 6-1/2 X 9 X 12 Inch 110 VAC / 60 Hz 560 mg / hr VWR International 100498-834,,,,,,,,,2022-05-01 22:54:58.645280,,12/21/23,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,ALIMED
MDPMSC90180H,,Default,virtual,Default Category,base,FitRight Double Up Thin Incontinence Booster Pads,,<ul><li> Booster pad allows for an instant increase the absorbency of any personal disposable incontinence product</li><li> Use them in disposable briefs and undergarments for extended protection</li><li> Ultra-thin technology with super-absorbent polymer for dryness and odor protection</li><li> Soft material is comfortable and gentle on skin; full-length adhesive strip helps keep pad in place</li><li> Individually wrapped for convenience</li></ul>,,,Taxable Goods,Not Visible Individually,0,,,,,Labconco 9092900 - McKesson Medical-Surgical,,WaterPro PS ® Water Purifier 0.2 micron Filter Labconco 9092900,,,,,,,,,2022-05-01 22:48:40.360383,,12/21/23,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,MEDLINE
MDPMSC90180,,Default,virtual,Default Category,base,FitRight Double Up Thin Incontinence Booster Pads,,<ul><li> Booster pad allows for an instant increase the absorbency of any personal disposable incontinence product</li><li> Use them in disposable briefs and undergarments for extended protection</li><li> Ultra-thin technology with super-absorbent polymer for dryness and odor protection</li><li> Soft material is comfortable and gentle on skin; full-length adhesive strip helps keep pad in place</li><li> Individually wrapped for convenience</li></ul>,,,Taxable Goods,Not Visible Individually,0,,,,,Labconco 9000722 - McKesson Medical-Surgical,,WaterPro PS ® Dispensing Gun 115 volt Carbon Filtration 2.0 liters per minute Labconco 9000722,,,,,,,,,2022-05-01 22:48:35.645359,,12/21/23,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,MEDLINE
