,_id,meta_title,page_title,meta_description,views,times_used,prod_title,prod_invoice_title,tags,variation,product-features,popularSuggest,specifications,more_information,categoryId,created_at,schema
0,1185626,Tuttnauer USA DS1000 - McKesson Medical-Surgical,Tuttnauer USA DS1000 - McKesson Medical-Surgical,DS1000 Steam Distiller 1 gal. 9-3/4 X 15 X 15-1/4 Inch AC Outlet Tuttnauer USA DS1000,0,,DS1000 Steam Distiller 1 gal. 9-3/4 X 15 X 15-1/4 Inch AC Outlet,"DISTILLER, WATER 1GL",[],[],"['Produces 1 gallon of 100% steam distilled water in 4 hours (Up to 6 gallons per day)', 'Reduces 99% of total dissolved solids (TDS)', 'Dripless stop-and-serve feature', 'Automatic shutoff after each 1 gallon cycle', '800 watts of power, 120 Volt 60 Hz, fits standard outlet', 'Effectively removes arsenic, nitrates, sodium, chlorine, bacteria and viruses', '1 gallon (4 liter) BPA Free carafe included', 'The seamless, stainless steel boiler has a concealed heating element that won’t become coated with scale and mineral deposits', 'A simple twist locks the 7 inch stainless steel cover firmly into place']",[],"{'McKesson #': '1185626', 'Manufacturer #': 'DS1000', 'Brand': 'DS1000', 'Manufacturer': 'Tuttnauer USA', 'Country of Origin': 'Unknown', 'Application': 'Steam Distiller', 'Capacity': '1 gal.', 'Dimensions': '9-3/4 X 15 X 15-1/4 Inch', 'Power Source': 'AC Outlet', 'UNSPSC Code': '41104213'}",[],1537374,2022-05-01 22:53:44.684735,"{'@context': 'http://schema.org/', '@type': 'Product', 'name': 'Steam Distiller', 'image': 'https://imgcdn.mckesson.com/CumulusWeb/Images/High_Res/1185626_front.jpg', 'description': 'DS1000 Steam Distiller 1 gal. 9-3/4 X 15 X 15-1/4 Inch AC Outlet', 'manufacturer': 'Tuttnauer USA', 'mpn': 'DS1000', 'model': 'DS1000', 'brand': {'@type': 'Thing', 'name': 'DS1000'}}"
1,1177583,HoMedics USA LLC AP-T20WT - McKesson Medical-Surgical,HoMedics USA LLC AP-T20WT - McKesson Medical-Surgical,HoMedics® TotalClean® 5-in-1 UV Air Purifier Small Rooms HEPA-Type 3 Speed HoMedics USA LLC AP-T20WT,0,,HoMedics® TotalClean® 5-in-1 UV Air Purifier Small Rooms HEPA-Type 3 Speed,"PURIFIER, AIR TOWER TOTAL CLEAN 5-IN-1 (2/CS)",[],[],"['60 degree HEPA-Type filtration removes up to 99% of airborne allergens as small as 2 microns', 'Captures and removes allergens, pollen, dust, smoke, pet dander, mold spores and germs', 'UV-C light kills germs, bacteria and viruses', 'Optional ionizer releases negative ions into the purified air to help the purification process', 'Pre-filter captures large particles', 'Small rooms 170 ft²/ 15.7 m²', 'Auto-off timer: 2,4,8, or 12 hours', 'Night light', '3 speeds', 'Aroma slot with pads included (3 packaged separately)']","[1177584, 1181297, 1069034, 1069032]","{'McKesson #': '1177583', 'Manufacturer #': 'AP-T20WT', 'Brand': 'HoMedics® TotalClean® 5-in-1 UV', 'Manufacturer': 'HoMedics USA LLC', 'Country of Origin': 'Unknown', 'Application': 'Air Purifier', 'Capacity': 'Small Rooms', 'Filter Type': 'HEPA-Type', 'Speed': '3 Speed', 'UNSPSC Code': '40161602'}",[],1537374,2022-05-01 22:47:11.990417,"{'@context': 'http://schema.org/', '@type': 'Product', 'name': 'Air Purifier', 'image': 'https://imgcdn.mckesson.com/CumulusWeb/Images/High_Res/1177583_front.jpg', 'description': 'HoMedics® TotalClean® 5-in-1 UV Air Purifier Small Rooms HEPA-Type 3 Speed', 'manufacturer': 'HoMedics USA LLC', 'mpn': 'AP-T20WT', 'model': 'AP-T20WT', 'brand': {'@type': 'Thing', 'name': 'HoMedics® TotalClean® 5-in-1 UV'}}"
2,1177584,HoMedics USA LLC AP-PET35-WT - McKesson Medical-Surgical,HoMedics USA LLC AP-PET35-WT - McKesson Medical-Surgical,HoMedics® TotalClean® PetPlus 5-In-1 Air Purifier Large Rooms HEPA 3 Speed HoMedics USA LLC AP-PET35-WT,0,,HoMedics® TotalClean® PetPlus 5-In-1 Air Purifier Large Rooms HEPA 3 Speed,"PURIFIER, AIR TOWER TOTAL CLEAN PET PLUS 5-IN-1 (2/CS)",[],[],"['360-degree True HEPA filtration removes up to 99.97% of airborne allergens', 'For large rooms up to 280ft2', 'UV-C light kills bacteria and viruses with 3 speed options and optional ionizer', 'Essential oil aromatherapy tray (3 pads included) and optional nightlight']","[1177583, 1181297, 1069034, 1069032]","{'McKesson #': '1177584', 'Manufacturer #': 'AP-PET35-WT', 'Brand': 'HoMedics® TotalClean® PetPlus 5-In-1', 'Manufacturer': 'HoMedics USA LLC', 'Country of Origin': 'Unknown', 'Application': 'Air Purifier', 'Capacity': 'Large Rooms', 'Filter Type': 'HEPA', 'Speed': '3 Speed', 'UNSPSC Code': '40161602'}",[],1537374,2022-05-01 22:47:12.801325,"{'@context': 'http://schema.org/', '@type': 'Product', 'name': 'Air Purifier', 'image': 'https://imgcdn.mckesson.com/CumulusWeb/Images/High_Res/1177584_front.jpg', 'description': 'HoMedics® TotalClean® PetPlus 5-In-1 Air Purifier Large Rooms HEPA 3 Speed', 'manufacturer': 'HoMedics USA LLC', 'mpn': 'AP-PET35-WT', 'model': 'AP-PET35-WT', 'brand': {'@type': 'Thing', 'name': 'HoMedics® TotalClean® PetPlus 5-In-1'}}"
3,1002865,Auxo Medical AM-WC-PCS-20 - McKesson Medical-Surgical,Auxo Medical AM-WC-PCS-20 - McKesson Medical-Surgical,Boiler Auxo Medical AM-WC-PCS-20,0,,Boiler,"FILTER, WATER PENTEK F/30KW BOILER",[],[],['Item: Features and Benefits 1'],[],"{'McKesson #': '1002865', 'Manufacturer #': 'AM-WC-PCS-20', 'Manufacturer': 'Auxo Medical', 'Country of Origin': 'United States', 'Application': 'Boiler', 'UNSPSC Code': '41115808'}",[],1537374,2022-05-01 22:43:30.813638,"{'@context': 'http://schema.org/', '@type': 'Product', 'name': 'Boiler', 'image': '', 'description': 'Boiler', 'manufacturer': 'Auxo Medical', 'mpn': 'AM-WC-PCS-20', 'model': 'AM-WC-PCS-20', 'brand': {'@type': 'Thing', 'name': ''}}"
4,1181297,HoMedics USA LLC AP-T30WT - McKesson Medical-Surgical,HoMedics USA LLC AP-T30WT - McKesson Medical-Surgical,HoMedics Air Purifier 195 Sq Foot 9-3/5 X 9-3/5 X 22-1/5 Inch Pre-Filter HoMedics USA LLC AP-T30WT,0,,HoMedics Air Purifier 195 Sq Foot 9-3/5 X 9-3/5 X 22-1/5 Inch Pre-Filter,"PURIFIER, AIR TOWER TOTAL CLEAN 5-IN-1 MED",[],[],"['Breathe easy while 360-degree True HEPA filtration removes up to 99.9% of airborne allergens as small as 0.3 microns', ""A built-in carbon filter reduces odor and VOC's and freshens air combined with a prefilter which captures large particles"", 'Trusted and true UV-C light sanitization kills bacteria and viruses that can be harmful to you and your family', 'Purify the air in any medium spaced room such as your home office, bedroom, kids’ playroom or kitchen up to 195 sqft / 18.1 sqm', 'Social distance yourself from allergens, pollen, dust, smoke, pet dander and germs safely and effectively']","[1177583, 1177584, 1069034, 1069032]","{'McKesson #': '1181297', 'Manufacturer #': 'AP-T30WT', 'Brand': 'Homedics', 'Manufacturer': 'HoMedics USA LLC', 'Country of Origin': 'Unknown', 'Application': 'Air Purifier', 'Capacity': '195 Sq Foot', 'Dimensions': '9-3/5 X 9-3/5 X 22-1/5 Inch', 'Filter Type': 'Pre-Filter', 'UNSPSC Code': '42282017'}",[],1537374,2022-05-01 22:47:13.450823,"{'@context': 'http://schema.org/', '@type': 'Product', 'name': 'Air Purifier', 'image': '', 'description': 'HoMedics Air Purifier 195 Sq Foot 9-3/5 X 9-3/5 X 22-1/5 Inch Pre-Filter', 'manufacturer': 'HoMedics USA LLC', 'mpn': 'AP-T30WT', 'model': 'AP-T30WT', 'brand': {'@type': 'Thing', 'name': 'Homedics'}}"
5,1118781,Labconco 9075020 - McKesson Medical-Surgical,Labconco 9075020 - McKesson Medical-Surgical,WaterPro PS ® Water Purifier Labconco 9075020,0,,WaterPro PS ® Water Purifier,"MOUNT, WALL F/WATERPRO WATER PURIFIER SYS 115V-60HZ",[],[],"['High-quality, reverse osmosis purified, Type III water typically flows at 8.7 liters/minute (gravity fed) from integral 17-liter polypropylene storage tank', 'White polypropylene bowls have threaded heads which seal tightly']",[1118779],"{'McKesson #': '1118781', 'Manufacturer #': '9075020', 'Brand': 'WaterPro PS ®', 'Manufacturer': 'Labconco', 'Country of Origin': 'United States', 'Application': 'Water Purifier', 'UNSPSC Code': '41103511'}",[],1537374,2022-05-01 22:48:41.069178,"{'@context': 'http://schema.org/', '@type': 'Product', 'name': 'Water Purifier', 'image': '', 'description': 'WaterPro PS ® Water Purifier', 'manufacturer': 'Labconco', 'mpn': '9075020', 'model': '9075020', 'brand': {'@type': 'Thing', 'name': 'WaterPro PS ®'}}"
6,1069032,VWR International 100491-368 - McKesson Medical-Surgical,VWR International 100491-368 - McKesson Medical-Surgical,LAB-AIR Air Purifier 10 lbs. Capacity 5 X 8 X 12 Inch 110 VAC / 60 Hz 560 mg / hr VWR International 100491-368,0,,LAB-AIR Air Purifier 10 lbs. Capacity 5 X 8 X 12 Inch 110 VAC / 60 Hz 560 mg / hr,"CLEANING KIT, F/LAB-AIR PURIFIER ELEC PA2500",[],[],"['Reduces toxic vapors and minimizes occupational exposure to them', 'Eliminates animal necropsy odors and fumes', 'Electronic Air Purifiers produce a controlled level of Ozone electrically by converting molecules of Oxygen into molecules of Ozone']","[1177583, 1177584, 1181297, 1069034]","{'McKesson #': '1069032', 'Manufacturer #': '100491-368', 'Brand': 'LAB-AIR', 'Manufacturer': 'VWR International', 'Country of Origin': 'Unknown', 'Application': 'Air Purifier', 'Capacity': '10 lbs. Capacity', 'Dimensions': '5 X 8 X 12 Inch', 'Power Source': '110 VAC / 60 Hz', 'Speed': '560 mg / hr', 'UNSPSC Code': '41103025'}",[],1537374,2022-05-01 22:55:04.655350,"{'@context': 'http://schema.org/', '@type': 'Product', 'name': 'Air Purifier', 'image': 'https://imgcdn.mckesson.com/CumulusWeb/Images/High_Res/1069032.jpg', 'description': 'LAB-AIR Air Purifier 10 lbs. Capacity 5 X 8 X 12 Inch 110 VAC / 60 Hz 560 mg / hr', 'manufacturer': 'VWR International', 'mpn': '100491-368', 'model': '100491-368', 'brand': {'@type': 'Thing', 'name': 'LAB-AIR'}}"
7,1069034,VWR International 100498-834 - McKesson Medical-Surgical,VWR International 100498-834 - McKesson Medical-Surgical,LAB-AIR Air Purifier 10 lbs Capacity 6-1/2 X 9 X 12 Inch 110 VAC / 60 Hz 560 mg / hr VWR International 100498-834,0,,LAB-AIR Air Purifier 10 lbs Capacity 6-1/2 X 9 X 12 Inch 110 VAC / 60 Hz 560 mg / hr,"PURIFIER, AIR LAB-AIR ELEC MODEL PA2500",[],[],"['Designed to eliminate harmful fumes and annoying odors from the laboratory workplace', 'Eliminates animal necropsy odors and fumes', 'two year warranty', 'Comes with non-slip feet and power cord', 'Baked enamel metal case with protective bumper guards']","[1177583, 1177584, 1181297, 1069032]","{'McKesson #': '1069034', 'Manufacturer #': '100498-834', 'Brand': 'LAB-AIR', 'Manufacturer': 'VWR International', 'Country of Origin': 'Unknown', 'Application': 'Air Purifier', 'Capacity': '10 lbs Capacity', 'Dimensions': '6-1/2 X 9 X 12 Inch', 'Power Source': '110 VAC / 60 Hz', 'Speed': '560 mg / hr', 'UNSPSC Code': '40161602'}",[],1537374,2022-05-01 22:54:58.645280,"{'@context': 'http://schema.org/', '@type': 'Product', 'name': 'Air Purifier', 'image': 'https://imgcdn.mckesson.com/CumulusWeb/Images/High_Res/1069034.jpg', 'description': 'LAB-AIR Air Purifier 10 lbs Capacity 6-1/2 X 9 X 12 Inch 110 VAC / 60 Hz 560 mg / hr', 'manufacturer': 'VWR International', 'mpn': '100498-834', 'model': '100498-834', 'brand': {'@type': 'Thing', 'name': 'LAB-AIR'}}"
8,1118779,Labconco 9092900 - McKesson Medical-Surgical,Labconco 9092900 - McKesson Medical-Surgical,WaterPro PS ® Water Purifier 0.2 micron Filter Labconco 9092900,0,,WaterPro PS ® Water Purifier 0.2 micron Filter,"FILTER, F/WATERPRO WATER PURIFIER SYS HOLLOW FIBER FINAL",[],[],"['Hollow Fiber Final Filter, self-venting', 'Optional filter attaches to the dispensing valve or gun', 'Removes all particulates and bacteria that are larger than 0.2 micron in diameter']",[1118781],"{'McKesson #': '1118779', 'Manufacturer #': '9092900', 'Brand': 'WaterPro PS ®', 'Manufacturer': 'Labconco', 'Country of Origin': 'United States', 'Application': 'Water Purifier', 'Filter Type': '0.2 Micron Filter', 'UNSPSC Code': '41103511'}",[],1537374,2022-05-01 22:48:40.360383,"{'@context': 'http://schema.org/', '@type': 'Product', 'name': 'Water Purifier', 'image': '', 'description': 'WaterPro PS ® Water Purifier 0.2 micron Filter', 'manufacturer': 'Labconco', 'mpn': '9092900', 'model': '9092900', 'brand': {'@type': 'Thing', 'name': 'WaterPro PS ®'}}"
9,1118775,Labconco 9000722 - McKesson Medical-Surgical,Labconco 9000722 - McKesson Medical-Surgical,WaterPro PS ® Dispensing Gun 115 volt Carbon Filtration 2.0 liters per minute Labconco 9000722,0,,WaterPro PS ® Dispensing Gun 115 volt Carbon Filtration 2.0 liters per minute,"STATION, POLISHING F/WATERPRO WATER PURIFIER SYS 115V-60HZ",[],[],"['High-quality, reverse osmosis purified, Type III water typically flows at 8.7 liters/minute (gravity fed) from integral 17-liter polypropylene storage tank', 'White polypropylene bowls have threaded heads which seal tightly']",[],"{'McKesson #': '1118775', 'Manufacturer #': '9000722', 'Brand': 'WaterPro PS ®', 'Manufacturer': 'Labconco', 'Country of Origin': 'United States', 'Application': 'Dispensing Gun', 'Filter Type': 'Carbon Filtration', 'Power Source': '115 Volt', 'Speed': '2.0 liters per minute', 'UNSPSC Code': '41103511'}",[],1537374,2022-05-01 22:48:35.645359,"{'@context': 'http://schema.org/', '@type': 'Product', 'name': 'Dispensing Gun', 'image': '', 'description': 'WaterPro PS ® Dispensing Gun 115 volt Carbon Filtration 2.0 liters per minute', 'manufacturer': 'Labconco', 'mpn': '9000722', 'model': '9000722', 'brand': {'@type': 'Thing', 'name': 'WaterPro PS ®'}}"
