,_id,product,material,details,media,specifications,packagingDetails,documents
0,MDPRJHG617388BLA,"{'productId': 'Z05-PF175855', 'details': {'longDescription': '<ul><li> Handy built-in paper towel holder on middle shelf</li><li> Smooth surface for easy cleaning</li><li> Zippered bag for simple trash removal</li><li> Quite 4"" casters and 8"" ball-bearing wheels</li></ul>', 'displayName': 'Cleaning Cart with Zippered Vinyl Bag', 'url': '/product/Cleaning-Cart-with-Zippered-Vinyl-Bag/Janitorial-Carts/Z05-PF175855', 'manufacturer': 'RUBBERMAID'}}",RJHG617388BLA,"{'isLatexFree': True, 'mfrProdNum': 'FG617388BLA', 'salesUOM': 'CS', 'displayName': 'Janitor Cart with Vinyl Bag, 46"" x 21-3/4"" x 38-3/8""', 'packagingStringLong': '1 Each / Case', 'url': '/sku/item/MDPRJHG617388BLA', 'baseUOM': 'EA', 'deliveryUOM': 'CS', 'manufacturer': 'RUBBERMAID', 'packagingStringShort': '1/CS'}","[{'type': 'imagePrimary', 'url': 'https://www.medline.com/media/spc/300x300/RJHG617388BLA.jpg'}]","[{'name': 'Latex Free', 'value': ['Yes']}, {'name': 'UNSPSC', 'value': ['47121501']}]","[{'baseUomDesc': 'Each', 'uomDesc': 'Case', 'length': 36, 'casePack': '', 'volume': 12, 'grossWeight': 49.5, 'netWeight': 0, 'uom': 'CS', 'salesUom': True, 'width': 24, 'gtinAndUpc': None, 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 1, 'height': 24}, {'baseUomDesc': 'Each', 'uomDesc': 'Each', 'length': 36, 'casePack': '1 Each / Case', 'volume': 12, 'grossWeight': 49.5, 'netWeight': 0, 'uom': 'EA', 'salesUom': False, 'width': 24, 'gtinAndUpc': None, 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 1, 'height': 24}]",
1,MDPBKCCRMOPCART1,"{'productId': 'Z05-PF267058', 'details': {'longDescription': '<ul><li> Made of stainless steel and fully autoclavable</li><li> Locking casters provide stability during use</li><li> Ergonomically designed cart handle serves as a rest for mop and makes the cart easy to maneuver in tight production areas</li><li> Two 20-liter polypropylene buckets are color coded blue and red to differentiate between clean and dirty solutions</li><li> Internal bucket graduations help insure correct mixing of cleaning and disinfecting solutions</li></ul>', 'displayName': 'Cleanroom Mop Carts with Buckets', 'url': '/product/Cleanroom-Mop-Carts-with-Buckets/Janitorial-Carts/Z05-PF267058', 'manufacturer': 'BERKSHIRE CORPORATION'}}",BKCCRMOPCART1,"{'mfrProdNum': 'MCRMOPCART1', 'salesUOM': 'EA', 'displayName': 'CART,MOP,STAINLESS STEEL,W/ 2 BUCKETS', 'packagingStringLong': '1 Each / Each', 'url': '/sku/item/MDPBKCCRMOPCART1', 'baseUOM': 'EA', 'deliveryUOM': 'EA', 'manufacturer': 'BERKSHIRE CORPORATION', 'packagingStringShort': '1 EA'}","[{'type': 'imagePrimary', 'url': 'https://www.medline.com/media/spc/300x300/BKCCRMOPCART1.jpg'}]","[{'name': 'Latex Free', 'value': ['No']}, {'name': 'UNSPSC', 'value': ['47121501']}]","[{'baseUomDesc': 'Each', 'uomDesc': 'Each', 'length': 10, 'casePack': '1 Each / Each', 'volume': 0.579, 'grossWeight': 10, 'netWeight': 0, 'uom': 'EA', 'salesUom': True, 'width': 10, 'gtinAndUpc': None, 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 1, 'height': 10}]",
2,MDPMPHMC1TW,"{'productId': 'Z05-PF08011', 'details': {'longDescription': '<ul><li> Professional tools for high-level cleaning</li><li> Convenient EVS mobile workstations designed for healthcare</li><li> Stands up to disinfectants, power washing and even autoclaving</li><li> Quiet and clean, helping to enhance the patient experience</li></ul>', 'displayName': 'MIYO Housekeeping Carts', 'url': '/product/MIYO-Housekeeping-Carts/Janitorial-Carts/Z05-PF08011', 'manufacturer': 'Various Manufacturers / Suppliers'}}",MPHMC1TW,"{'isLatexFree': True, 'mfrProdNum': 'MPHMC1TW', 'salesUOM': 'EA', 'displayName': 'Short Healthcare Cart with Microshelf', 'packagingStringLong': '1 Each / Each', 'url': '/sku/item/MDPMPHMC1TW', 'baseUOM': 'EA', 'deliveryUOM': 'EA', 'manufacturer': 'FILMOP', 'packagingStringShort': '1 EA'}","[{'type': 'imagePrimary', 'url': 'https://www.medline.com/media/spc/300x300/MPHMC1TW.jpg'}, {'type': 'video', 'url': 'https://www.medline.comhttp://player.vimeo.com/video/85485396'}, {'type': 'video', 'url': 'https://www.medline.comhttp://player.vimeo.com/video/85485397'}]","[{'name': 'Cart Type', 'value': ['Housekeeping Cart']}, {'name': 'Equipment Type', 'value': ['Cleaning Cart']}, {'name': 'Latex Free', 'value': ['Yes']}, {'name': 'UNSPSC', 'value': ['42192404']}, {'name': 'Unit Compatibility', 'value': ['MIYO Housekeeping Carts']}]","[{'baseUomDesc': 'Each', 'uomDesc': 'Each', 'length': 40, 'casePack': '1 Each / Each', 'volume': 32.222, 'grossWeight': 85, 'netWeight': 0, 'uom': 'EA', 'salesUom': True, 'width': 48, 'gtinAndUpc': None, 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 1, 'height': 29}]",
3,MDPCCJ188WY,"{'productId': 'Z05-PF00956', 'details': {'longDescription': '<ul><li> Designed to accommodate and organize tools and suppliesrequired for facility cleaning</li><li> Features over-sized 8"" (20 cm) rear wheels and 3"" (7.6 cm)gray non-marking casters</li><li> 25-gallon (94.64 L) vinyl bag with zipper for easy trash removal</li><li> Plastic construction resists corrosion and rust, and is less likely to scratch doors, furniture or walls</li></ul>', 'displayName': 'Janitor Cart', 'url': '/product/Janitor-Cart/Janitorial-Carts/Z05-PF00956', 'manufacturer': 'CONTINENTAL COMMERCIAL PRODUCTS LLC'}}",CCJ188WY,"{'isLatexFree': True, 'mfrProdNum': '188WY', 'salesUOM': 'CS', 'displayName': 'Vinyl Zip Bag for Janitors Cart Item CCJR184BK, 25 gal.', 'packagingStringLong': '6 Each / Case', 'hcpcsCode': 'NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS', 'url': '/sku/item/MDPCCJ188WY', 'baseUOM': 'EA', 'deliveryUOM': 'CS', 'manufacturer': 'CONTINENTAL COMMERCIAL PRODUCTS LLC', 'packagingStringShort': '6/CS'}","[{'type': 'imagePrimary', 'url': 'https://www.medline.com/media/catalog/sku/CCJ/CCJ188WY_PRI01.JPG'}]","[{'name': 'Cart Type', 'value': ['Housekeeping Cart']}, {'name': 'Equipment Type', 'value': ['Cart Part']}, {'name': 'Latex Free', 'value': ['Yes']}, {'name': 'Material', 'value': ['Vinyl']}, {'name': 'Product Type', 'value': ['Vinyl Bag']}, {'name': 'UNSPSC', 'value': ['42192404']}, {'name': 'Unit Compatibility', 'value': ['CCJR184BK']}]","[{'baseUomDesc': 'Each', 'uomDesc': 'Each', 'length': 0, 'casePack': '6 Each / Case', 'volume': 0.5690000000000001, 'grossWeight': 1.343, 'netWeight': 0, 'uom': 'EA', 'salesUom': False, 'width': 0, 'gtinAndUpc': None, 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 1, 'height': 0}, {'baseUomDesc': 'Each', 'uomDesc': 'Case', 'length': 12, 'casePack': '', 'volume': 0.5690000000000001, 'grossWeight': 8.058, 'netWeight': 0, 'uom': 'CS', 'salesUom': True, 'width': 10.25, 'gtinAndUpc': None, 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 6, 'height': 8}]",
4,MDPWXS619000BLA,"{'productId': 'Z05-PF165068', 'details': {'displayName': 'Housekeeping Carts by Rubbermaid', 'url': '/product/Housekeeping-Carts-by-Rubbermaid/Janitorial-Carts/Z05-PF165068', 'manufacturer': 'RUBBERMAID'}}",WXS619000BLA,"{'isLatexFree': True, 'mfrProdNum': '88RMFG619000BLA', 'salesUOM': 'EA', 'displayName': 'CART,COMPACT,HOUSEKEEPING', 'packagingStringLong': '1 Each / Each', 'url': '/sku/item/MDPWXS619000BLA', 'baseUOM': 'EA', 'deliveryUOM': 'EA', 'manufacturer': 'RUBBERMAID', 'packagingStringShort': '1 EA'}","[{'type': 'imagePrimary', 'url': 'https://www.medline.com/media/spc/300x300/WXS619000BLA.jpg'}]","[{'name': 'Latex Free', 'value': ['Yes']}, {'name': 'UNSPSC', 'value': ['47121502']}]","[{'baseUomDesc': 'Each', 'uomDesc': 'Each', 'length': 20, 'casePack': '1 Each / Each', 'volume': 0.741, 'grossWeight': 5, 'netWeight': 0, 'uom': 'EA', 'salesUom': True, 'width': 8, 'gtinAndUpc': None, 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 1, 'height': 8}]",
5,MDPRJHG617900BLA,"{'productId': 'Z05-PF262538', 'details': {'displayName': 'High-Capacity Janitorial Cart Executive Waste Covers', 'url': '/product/High-Capacity-Janitorial-Cart-Executive-Waste-Covers/Janitorial-Carts/Z05-PF262538', 'manufacturer': 'RUBBERMAID'}}",RJHG617900BLA,"{'isLatexFree': True, 'mfrProdNum': 'FG617900BLA', 'salesUOM': 'CS', 'displayName': 'COVER,WASTER,EXECUTIVE,W/STORGE,BLACK', 'packagingStringLong': '1 Each / Case', 'url': '/sku/item/MDPRJHG617900BLA', 'baseUOM': 'EA', 'deliveryUOM': 'CS', 'manufacturer': 'RUBBERMAID', 'packagingStringShort': '1/CS'}","[{'type': 'imagePrimary', 'url': 'https://www.medline.com/media/spc/300x300/RJHG617900BLA.jpg'}]","[{'name': 'Latex Free', 'value': ['Yes']}, {'name': 'UNSPSC', 'value': ['47121502']}]","[{'baseUomDesc': 'Each', 'uomDesc': 'Case', 'length': 17.63, 'casePack': '', 'volume': 0.304, 'grossWeight': 2.84, 'netWeight': 0, 'uom': 'CS', 'salesUom': True, 'width': 12.5, 'gtinAndUpc': None, 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 1, 'height': 2.38}, {'baseUomDesc': 'Each', 'uomDesc': 'Each', 'length': 0.001, 'casePack': '1 Each / Case', 'volume': 0, 'grossWeight': 2.84, 'netWeight': 0, 'uom': 'EA', 'salesUom': False, 'width': 0.001, 'gtinAndUpc': None, 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 1, 'height': 0.001}]",
6,MDPMSC326015,"{'productId': 'Z05-PF01394', 'details': {'longDescription': '<ul><li> Booster pad allows for an instant increase the absorbency of any personal disposable incontinence product</li><li> Use them in disposable briefs and undergarments for extended protection</li><li> Ultra-thin technology with super-absorbent polymer for dryness and odor protection</li><li> Soft material is comfortable and gentle on skin; full-length adhesive strip helps keep pad in place</li><li> Individually wrapped for convenience</li></ul>', 'displayName': 'FitRight Double Up Thin Incontinence Booster Pads', 'url': '/product/FitRight-Double-Up-Thin-Incontinence-Booster-Pads/Bladder-Control-Pads/Z05-PF01394', 'manufacturer': 'MEDLINE'}}",MSC326015,"{'isLatexFree': True, 'mfrProdNum': 'MSC326015', 'salesUOM': 'CS', 'displayName': 'Double Up Thin Liner Diapers for Incontinence, 3.5"" x 11.5""', 'description': 'Double-Up Liners: ?This Double-Up Liner adds absorbency to disposable briefs and undergarments for extended protection. Ultra-thin technology improves dryness with super-absorbent polymer. Adhesive strip help keep liner in place. Soft and gentle for a superior feel against the skin. Individually wrapped for added convenience. ?3.5&quot; x 11.5&quot; (9cm x 29cm). 192/cs, 24/bg.', 'packagingStringLong': '192 Each / 8 Bag / 1 Carton / Case', 'hcpcsCode': 'NOT COVERED BY MEDICARE - CHECK REIMBURSEMENT WITH MEDICAID', 'url': '/sku/item/MDPMSC326015', 'baseUOM': 'EA', 'deliveryUOM': 'CS', 'manufacturer': 'MEDLINE', 'packagingStringShort': '192/CS'}","[{'type': 'imagePrimary', 'url': 'https://www.medline.com/media/catalog/sku/MSC/MSC326015_PRI05.JPG'}, {'type': 'imageAlternate', 'url': 'https://www.medline.com/media/catalog/sku/MSC/MSC326015_HRE04.JPG'}, {'type': 'imageAlternate', 'url': 'https://www.medline.com/media/catalog/sku/MSC/MSC326015_HRE05.JPG'}, {'type': 'imageAlternate', 'url': 'https://www.medline.com/media/catalog/sku/MSC/MSC326015_HRE06.JPG'}, {'type': 'imageAlternate', 'url': 'https://www.medline.com/media/catalog/sku/MSC/MSC326015_HRE09.JPG'}]","[{'name': 'Absorbency', 'value': ['2 of 10']}, {'name': 'Absorbency Level', 'value': ['2 of 10']}, {'name': 'Adhesive Strip', 'value': ['Yes']}, {'name': 'Bag Appearance', 'value': ['Printed']}, {'name': 'Latex Free', 'value': ['Yes']}, {'name': 'Reusable or Disposable', 'value': ['Disposable']}, {'name': 'Size Dimensions', 'value': ['3.5"" X 11.5""']}, {'name': 'UNSPSC', 'value': ['53131639']}]","[{'baseUomDesc': 'Each', 'uomDesc': 'Each', 'length': 1.831, 'casePack': '192 Each / Case', 'volume': 0.004, 'grossWeight': 0.029, 'netWeight': 0, 'uom': 'EA', 'salesUom': False, 'width': 1.831, 'gtinAndUpc': '10884389110867', 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 1, 'height': 1.831}, {'baseUomDesc': 'Each', 'uomDesc': 'Bag', 'length': 0, 'casePack': '8 Bag / Case', 'volume': 0.12, 'grossWeight': 0.936, 'netWeight': 0, 'uom': 'BG', 'salesUom': False, 'width': 0, 'gtinAndUpc': '884389110860', 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 24, 'height': 0}, {'baseUomDesc': 'Each', 'uomDesc': 'Case', 'length': 15.9, 'casePack': '', 'volume': 0.789, 'grossWeight': 6.45, 'netWeight': 0, 'uom': 'CS', 'salesUom': True, 'width': 12.8, 'gtinAndUpc': '40884389110868', 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 192, 'height': 6.7}, {'baseUomDesc': 'Each', 'uomDesc': 'Carton', 'length': 15.9, 'casePack': '1 Carton / Case', 'volume': 0.789, 'grossWeight': 6.45, 'netWeight': 0, 'uom': 'CT', 'salesUom': False, 'width': 12.8, 'gtinAndUpc': '40884389110868', 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 192, 'height': 6.7}]","[{'name': 'LIT050_BRO_Disposable Incontinence_1.pdf', 'type': 'marketing', 'url': 'https://www.medline.com/media/catalog/Docs/MKT/LIT050_BRO_Disposable Incontinence_1.pdf'}]"
7,MDPALI920349,"{'productId': 'Z05-PF54197', 'details': {'longDescription': '<ul><li> Cart comes complete with a mop bucket, wringer, warning sign, trash bag, and 3 storage shelves</li><li> Smooth, easy-to-clean surfaces</li><li> Constructed of extremely durable, lightweight materials and suited for use within high magnetic field areas</li><li> Wheels and casters are also nonmagnetic</li></ul>', 'displayName': 'AliMed MRI Custodial Carts', 'url': '/product/AliMed-MRI-Custodial-Carts/Janitorial-Carts/Z05-PF54197', 'manufacturer': 'ALIMED'}}",ALI920349,"{'mfrProdNum': '920349', 'salesUOM': 'EA', 'displayName': 'MRI Custodial Cart', 'packagingStringLong': '1 Each / Each', 'hcpcsCode': 'NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS', 'url': '/sku/item/MDPALI920349', 'baseUOM': 'EA', 'deliveryUOM': 'EA', 'manufacturer': 'ALIMED', 'packagingStringShort': '1 EA'}","[{'type': 'imagePrimary', 'url': 'https://www.medline.com/media/catalog/sku/ALI/ALI920349_PRI01.JPG'}]","[{'name': 'Latex Free', 'value': ['No']}, {'name': 'UNSPSC', 'value': ['47121501']}]","[{'baseUomDesc': 'Each', 'uomDesc': 'Each', 'length': 0, 'casePack': '1 Each / Each', 'volume': 0.02, 'grossWeight': 0.1, 'netWeight': 0, 'uom': 'EA', 'salesUom': True, 'width': 0, 'gtinAndUpc': None, 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 1, 'height': 0}]",
8,MDPMSC90180H,"{'productId': 'Z05-PF01394', 'details': {'longDescription': '<ul><li> Booster pad allows for an instant increase the absorbency of any personal disposable incontinence product</li><li> Use them in disposable briefs and undergarments for extended protection</li><li> Ultra-thin technology with super-absorbent polymer for dryness and odor protection</li><li> Soft material is comfortable and gentle on skin; full-length adhesive strip helps keep pad in place</li><li> Individually wrapped for convenience</li></ul>', 'displayName': 'FitRight Double Up Thin Incontinence Booster Pads', 'url': '/product/FitRight-Double-Up-Thin-Incontinence-Booster-Pads/Bladder-Control-Pads/Z05-PF01394', 'manufacturer': 'MEDLINE'}}",MSC90180H,"{'isLatexFree': True, 'mfrProdNum': 'NP-90180', 'salesUOM': 'BG', 'displayName': 'Double Up Thin Liner Diapers for Incontinence, 7"" x 17""', 'packagingStringLong': '30 Each / Bag', 'hcpcsCode': 'NOT COVERED BY MEDICARE - CHECK REIMBURSEMENT WITH MEDICAID', 'url': '/sku/item/MDPMSC90180H', 'baseUOM': 'EA', 'deliveryUOM': 'BG', 'manufacturer': 'MEDLINE', 'packagingStringShort': '30/BG'}","[{'type': 'imagePrimary', 'url': 'https://www.medline.com/media/catalog/sku/MSC/MSC90180H_PRI02.JPG'}]","[{'name': 'Absorbency', 'value': ['3 of 10']}, {'name': 'Absorbency Level', 'value': ['3 of 10']}, {'name': 'Adhesive Strip', 'value': ['Yes']}, {'name': 'Bag Appearance', 'value': ['Clear']}, {'name': 'Latex Free', 'value': ['Yes']}, {'name': 'Reusable or Disposable', 'value': ['Disposable']}, {'name': 'Size Dimensions', 'value': ['7"" X 17""']}, {'name': 'UNSPSC', 'value': ['53131639']}]","[{'baseUomDesc': 'Each', 'uomDesc': 'Each', 'length': 2.823, 'casePack': '30 Each / Bag', 'volume': 0.01, 'grossWeight': 0.07, 'netWeight': 0, 'uom': 'EA', 'salesUom': False, 'width': 2.823, 'gtinAndUpc': '10888277352667', 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 1, 'height': 2.823}, {'baseUomDesc': 'Each', 'uomDesc': 'Bag', 'length': 9.25, 'casePack': '', 'volume': 0.29, 'grossWeight': 2.1, 'netWeight': 0, 'uom': 'BG', 'salesUom': True, 'width': 6.15, 'gtinAndUpc': '20888277352664', 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 30, 'height': 8.8}, {'baseUomDesc': 'Each', 'uomDesc': 'Case', 'length': 18.6, 'casePack': '1 Bag / Bag', 'volume': 1.8599999999999999, 'grossWeight': 14.8, 'netWeight': 0, 'uom': 'CS', 'salesUom': False, 'width': 9.6, 'gtinAndUpc': '40888277352668', 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 180, 'height': 18}]",
9,MDPMSC90180,"{'productId': 'Z05-PF01394', 'details': {'longDescription': '<ul><li> Booster pad allows for an instant increase the absorbency of any personal disposable incontinence product</li><li> Use them in disposable briefs and undergarments for extended protection</li><li> Ultra-thin technology with super-absorbent polymer for dryness and odor protection</li><li> Soft material is comfortable and gentle on skin; full-length adhesive strip helps keep pad in place</li><li> Individually wrapped for convenience</li></ul>', 'displayName': 'FitRight Double Up Thin Incontinence Booster Pads', 'url': '/product/FitRight-Double-Up-Thin-Incontinence-Booster-Pads/Bladder-Control-Pads/Z05-PF01394', 'manufacturer': 'MEDLINE'}}",MSC90180,"{'isLatexFree': True, 'mfrProdNum': 'MSC90180', 'salesUOM': 'CS', 'displayName': 'Double Up Thin Liner Diapers for Incontinence, 7"" x 17""', 'packagingStringLong': '180 Each / 6 Bag / Case', 'hcpcsCode': 'NOT COVERED BY MEDICARE - CHECK REIMBURSEMENT WITH MEDICAID', 'url': '/sku/item/MDPMSC90180', 'baseUOM': 'EA', 'deliveryUOM': 'CS', 'manufacturer': 'MEDLINE', 'packagingStringShort': '180/CS'}","[{'type': 'imagePrimary', 'url': 'https://www.medline.com/media/catalog/sku/MSC/MSC90180_PRI03.JPG'}]","[{'name': 'Absorbency', 'value': ['3 of 10']}, {'name': 'Absorbency Level', 'value': ['3 of 10']}, {'name': 'Adhesive Strip', 'value': ['Yes']}, {'name': 'Bag Appearance', 'value': ['Clear']}, {'name': 'Latex Free', 'value': ['Yes']}, {'name': 'Reusable or Disposable', 'value': ['Disposable']}, {'name': 'Size Dimensions', 'value': ['7"" X 17""']}, {'name': 'UNSPSC', 'value': ['53131639']}]","[{'baseUomDesc': 'Each', 'uomDesc': 'Each', 'length': 2.5949999999999998, 'casePack': '180 Each / Case', 'volume': 0.01, 'grossWeight': 0.079, 'netWeight': 0, 'uom': 'EA', 'salesUom': False, 'width': 2.5949999999999998, 'gtinAndUpc': '10888277352667', 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 1, 'height': 2.5949999999999998}, {'baseUomDesc': 'Each', 'uomDesc': 'Bag', 'length': 0, 'casePack': '6 Bag / Case', 'volume': 0.34700000000000003, 'grossWeight': 2.37, 'netWeight': 0, 'uom': 'BG', 'salesUom': False, 'width': 0, 'gtinAndUpc': '20888277352664', 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 30, 'height': 0}, {'baseUomDesc': 'Each', 'uomDesc': 'Case', 'length': 18.6, 'casePack': '', 'volume': 1.8599999999999999, 'grossWeight': 14.8, 'netWeight': 0, 'uom': 'CS', 'salesUom': True, 'width': 9.6, 'gtinAndUpc': '40888277352668', 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 180, 'height': 18}]",
