sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels,manufacturer
1185626,,Default,virtual,Default Category,base,Steam Distiller,,"['Produces 1 gallon of 100% steam distilled water in 4 hours\n(Up to 6 gallons per day)', 'Reduces 99% of total dissolved solids (TDS)', 'Dripless stop-and-serve feature', 'Automatic shutoff after each 1 gallon cycle', '800 watts of power, 120 Volt 60 Hz, fits standard outlet', 'Effectively removes arsenic, nitrates, sodium, chlorine,\nbacteria and viruses', '1 gallon (4 liter) BPA Free carafe included', 'The seamless, stainless steel boiler has a concealed heating\nelement that won’t become coated with scale and mineral\ndeposits', 'A simple twist locks the 7 inch stainless steel cover firmly\ninto place']",,,Taxable Goods,Not Visible Individually,0,,,,,Tuttnauer USA DS1000 - McKesson Medical-Surgical,,DS1000 Steam Distiller 1 gal. 9-3/4 X 15 X 15-1/4 Inch AC Outlet Tuttnauer USA DS1000,,,,,,,,,2022-05-01 22:53:44.684735,,12/21/23,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,Tuttnauer USA
1177583,,Default,virtual,Default Category,base,Air Purifier,,"['60 degree HEPA-Type filtration removes up to 99% of airborne\nallergens as small as 2 microns', 'Captures and removes allergens, pollen, dust, smoke, pet\ndander, mold spores and germs', 'UV-C light kills germs, bacteria and viruses', 'Optional ionizer releases negative ions into the purified\nair to help the purification process', 'Pre-filter captures large particles', 'Small rooms 170 ft²/ 15.7 m²', 'Auto-off timer: 2,4,8, or 12 hours', 'Night light', '3 speeds', 'Aroma slot with pads included (3 packaged separately)']",,,Taxable Goods,Not Visible Individually,0,,,,,HoMedics USA LLC AP-T20WT - McKesson Medical-Surgical,,HoMedics® TotalClean® 5-in-1 UV Air Purifier Small Rooms HEPA-Type 3 Speed HoMedics USA LLC AP-T20WT,,,,,,,,,2022-05-01 22:47:11.990417,,12/21/23,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,HoMedics USA LLC
1177584,,Default,virtual,Default Category,base,Air Purifier,,"['360-degree True HEPA filtration removes up to 99.97% of\nairborne allergens', 'For large rooms up to 280ft2', 'UV-C light kills bacteria and viruses with 3 speed options\nand optional ionizer', 'Essential oil aromatherapy tray (3 pads included) and\noptional nightlight']",,,Taxable Goods,Not Visible Individually,0,,,,,HoMedics USA LLC AP-PET35-WT - McKesson Medical-Surgical,,HoMedics® TotalClean® PetPlus 5-In-1 Air Purifier Large Rooms HEPA 3 Speed HoMedics USA LLC AP-PET35-WT,,,,,,,,,2022-05-01 22:47:12.801325,,12/21/23,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,HoMedics USA LLC
1002865,,Default,virtual,Default Category,base,Boiler,,['Item: Features and Benefits 1'],,,Taxable Goods,Not Visible Individually,0,,,,,Auxo Medical AM-WC-PCS-20 - McKesson Medical-Surgical,,Boiler Auxo Medical AM-WC-PCS-20,,,,,,,,,2022-05-01 22:43:30.813638,,12/21/23,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,Auxo Medical
1181297,,Default,virtual,Default Category,base,Air Purifier,,"['Breathe easy while 360-degree True HEPA filtration removes\nup to 99.9% of airborne allergens as small as 0.3 microns', ""A built-in carbon filter reduces odor and VOC's and freshens\nair combined with a prefilter which captures large particles"", 'Trusted and true UV-C light sanitization kills bacteria and\nviruses that can be harmful to you and your family', 'Purify the air in any medium spaced room such as your home\noffice, bedroom, kids’ playroom or kitchen up to 195 sqft /\n18.1 sqm', 'Social distance yourself from allergens, pollen, dust,\nsmoke, pet dander and germs safely and effectively']",,,Taxable Goods,Not Visible Individually,0,,,,,HoMedics USA LLC AP-T30WT - McKesson Medical-Surgical,,HoMedics Air Purifier 195 Sq Foot 9-3/5 X 9-3/5 X 22-1/5 Inch Pre-Filter HoMedics USA LLC AP-T30WT,,,,,,,,,2022-05-01 22:47:13.450823,,12/21/23,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,HoMedics USA LLC
1118781,,Default,virtual,Default Category,base,Water Purifier,,"['High-quality, reverse osmosis purified, Type III water\ntypically flows at 8.7 liters/minute (gravity fed) from\nintegral 17-liter polypropylene storage tank', 'White polypropylene bowls have threaded heads which seal\ntightly']",,,Taxable Goods,Not Visible Individually,0,,,,,Labconco 9075020 - McKesson Medical-Surgical,,WaterPro PS ® Water Purifier Labconco 9075020,,,,,,,,,2022-05-01 22:48:41.069178,,12/21/23,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,Labconco
1069032,,Default,virtual,Default Category,base,Air Purifier,,"['Reduces toxic vapors and minimizes occupational exposure to\nthem', 'Eliminates animal necropsy odors and fumes', 'Electronic Air Purifiers produce a controlled level of Ozone\nelectrically by converting molecules of Oxygen into\nmolecules of Ozone']",,,Taxable Goods,Not Visible Individually,0,,,,,VWR International 100491-368 - McKesson Medical-Surgical,,LAB-AIR Air Purifier 10 lbs. Capacity 5 X 8 X 12 Inch 110 VAC / 60 Hz 560 mg / hr VWR International 100491-368,,,,,,,,,2022-05-01 22:55:04.655350,,12/21/23,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,VWR International
1069034,,Default,virtual,Default Category,base,Air Purifier,,"['Designed to eliminate harmful fumes and annoying odors from\nthe laboratory workplace', 'Eliminates animal necropsy odors and fumes', 'two year warranty', 'Comes with non-slip feet and power cord', 'Baked enamel metal case with protective bumper guards']",,,Taxable Goods,Not Visible Individually,0,,,,,VWR International 100498-834 - McKesson Medical-Surgical,,LAB-AIR Air Purifier 10 lbs Capacity 6-1/2 X 9 X 12 Inch 110 VAC / 60 Hz 560 mg / hr VWR International 100498-834,,,,,,,,,2022-05-01 22:54:58.645280,,12/21/23,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,VWR International
1118779,,Default,virtual,Default Category,base,Water Purifier,,"['Hollow Fiber Final Filter, self-venting', 'Optional filter attaches to the dispensing valve or gun', 'Removes all particulates and bacteria that are larger than\n0.2 micron in diameter']",,,Taxable Goods,Not Visible Individually,0,,,,,Labconco 9092900 - McKesson Medical-Surgical,,WaterPro PS ® Water Purifier 0.2 micron Filter Labconco 9092900,,,,,,,,,2022-05-01 22:48:40.360383,,12/21/23,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,Labconco
1118775,,Default,virtual,Default Category,base,Dispensing Gun,,"['High-quality, reverse osmosis purified, Type III water\ntypically flows at 8.7 liters/minute (gravity fed) from\nintegral 17-liter polypropylene storage tank', 'White polypropylene bowls have threaded heads which seal\ntightly']",,,Taxable Goods,Not Visible Individually,0,,,,,Labconco 9000722 - McKesson Medical-Surgical,,WaterPro PS ® Dispensing Gun 115 volt Carbon Filtration 2.0 liters per minute Labconco 9000722,,,,,,,,,2022-05-01 22:48:35.645359,,12/21/23,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,Labconco
